year,month,file_date,case_number,case_title,file_contains,case_info_url,pdf_url,pdf_filename,download_status,scraped_at
2021,January,"Jan. 28, 2021",97734-8,"Leishman v. Ogden Murphy Wallace, PLLC","Maj., Dis., and Con/Dis Opinions and an Order",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=977348MAJ,https://www.courts.wa.gov/opinions/pdf/977348.pdf,"97734-8_Leishman v. Ogden Murphy Wallace, PLLC.pdf",Success,2025-12-05T11:35:05.281147
2021,January,"Jan. 28, 2021",97583-3,Mancini v. City Of Tacoma,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=975833MAJ,https://www.courts.wa.gov/opinions/pdf/975833.pdf,97583-3_Mancini v. City Of Tacoma.pdf,Success,2025-12-05T11:35:13.326706
2021,January,"Jan. 28, 2021",98066-7,State v. Pratt,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=980667MAJ,https://www.courts.wa.gov/opinions/pdf/980667.pdf,98066-7_State v. Pratt.pdf,Success,2025-12-05T11:35:20.931652
2021,February,"Feb. 04, 2021",97456-0,In re Pers. Restraint of Fowler,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=974560MAJ,https://www.courts.wa.gov/opinions/pdf/974560.pdf,97456-0_In re Pers. Restraint of Fowler.pdf,Success,2025-12-05T11:35:27.774908
2021,February,"Feb. 04, 2021",96365-7,State v. Numrich,"Maj., Dis., and Con/Dis Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=963657MAJ,https://www.courts.wa.gov/opinions/pdf/963657.pdf,96365-7_State v. Numrich.pdf,Success,2025-12-05T11:35:33.201996
2021,February,"Feb. 11, 2021",97249-4,Beauregard v. Wash. State Bar Ass'n,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=972494MAJ,https://www.courts.wa.gov/opinions/pdf/972494.pdf,97249-4_Beauregard v. Wash. State Bar Ass'n.pdf,Success,2025-12-05T11:35:45.506669
2021,February,"Feb. 11, 2021",97689-9,In re Pers. Restraint of Brooks,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=976899MAJ,https://www.courts.wa.gov/opinions/pdf/976899.pdf,97689-9_In re Pers. Restraint of Brooks.pdf,Success,2025-12-05T11:35:52.036737
2021,February,"Feb. 11, 2021",98918-4,In Re Recall of Snaza,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=989184MAJ,https://www.courts.wa.gov/opinions/pdf/989184.pdf,98918-4_In Re Recall of Snaza.pdf,Success,2025-12-05T11:35:58.502139
2021,February,"Feb. 18, 2021",97109-9,Freedom Found. v. Teamsters Local 117 Segregated Fund,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=971099MAJ,https://www.courts.wa.gov/opinions/pdf/971099.pdf,97109-9_Freedom Found. v. Teamsters Local 117 Segregated F.pdf,Success,2025-12-05T11:36:04.835585
2021,February,"Feb. 25, 2021",96873-0,State v. Blake,"Maj., Dis., and Con/Dis Opinions and an Order",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=968730MAJ,https://www.courts.wa.gov/opinions/pdf/968730.pdf,96873-0_State v. Blake.pdf,Success,2025-12-05T11:36:11.794473
